00000 = สำนักงานใหญ่ (Head Office),,
01 - January,,
01 - มกราคม (January),,
02 - February,,
02 - กุมภาพันธ์ (February),,
03 - March,,
03 - มีนาคม (March),,
04 - April,,
04 - เมษายน (April),,
05 - May,,
05 - พฤษภาคม (May),,
06 - June,,
06 - มิถุนายน (June),,
07 - July,,
07 - กรกฎาคม (July),,
08 - August,,
08 - สิงหาคม (August),,
09 - September,,
09 - กันยายน (September),,
1. หัก ณ ที่จ่าย (Withhold at Source),,
1. เงินเดือน ค่าจ้าง ฯลฯ 40(1) - Salary,,
10 - October,,
10 - ตุลาคม (October),,
10. ค่าขนส่ง - Transportation,,
11 - November,,
11 - พฤศจิกายน (November),,
11. ค่าประกันภัย - Insurance,,
12 - December,,
12 - ธันวาคม (December),,
12. อื่นๆ - Others,,
2. ค่าธรรมเนียม ค่านายหน้า ฯลฯ 40(2) - Fee/Commission,,
2. ออกให้ตลอดไป (Permanent),,
3. ค่าแห่งลิขสิทธิ์ ฯลฯ 40(3) - Royalty,,
3. ออกให้ครั้งเดียว (One Time),,
4. (ก) ดอกเบี้ย ฯลฯ 40(4)ก - Interest,,
4. (ข) เงินปันผล เงินส่วนแบ่งกำไร ฯลฯ 40(4)ข - Dividend,,
4. อื่นๆ (Others),,
5. ค่าจ้างทำของ ค่าบริการ ฯลฯ 3 เตรส - Service,,
6. ค่าบริการ/ค่าสินค้าภาครัฐ - Government Service,,
7. ค่าจ้างแรงงาน - Labor,,
8. ค่าโฆษณา - Advertising,,
9. ค่าเช่า - Rent,,
About,,
Accounts Manager,,
Accounts User,,
Active,,
Advanced Settings,,
All Documents,,
Amended From,,
Amount,,
Amount Details (รายละเอียดจำนวนเงิน),,
Annual,,
Approval,,
Approval Token,,
Approved,,
Approved By,,
Approved Date,,
Approved On,,
Apps,,
Arial,,
Assignment,,
Authentication Stamp,,
Authority that issued or registered this stamp,,
Auto Calculate Retention,,
Auto Calculate WHT,,
Auto-calculated average withholding rate,,
Auto-calculated from items table,,
Auto-calculated total gross payments,,
Auto-calculated total tax amount,,
Auto-generated form number,,
Auto-populate Target Field,,
Automatically update the target field when this signature is saved,,
Average Tax Rate,,
Base64 encoded signature data (for digital drawings),,
Basic Information,,
Billing Address,,
Billing Period,,
Bottom (px),,
Bottom Center,,
Bottom Left,,
Bottom Right,,
Branch Code,,
Buddhist Era Year,,
Buddhist Era year (auto-calculated),,
Calibri,,
Cancelled,,
Category,,
Certificate Date,,
Certificate Information,,
Certificate Issue Date,,
Certificate Issued,,
Certificate Number,,
Certificate Period,,
Certificate Reason,,
Classification for PND form reporting,,
Company,,
Company (ผู้หักภาษี),,
Company Branch,,
Company Information,,
Company Retention Settings,,
Company Seal,,
Company Stamp,,
Company Stamp Details,,
Company Tax ID,,
Company this signature belongs to,,
Company/Corporation Name,,
Company/Juristic Person (PND.53),,
Confidential,,
Contact Person,,
Copy,,
Copy on All Pages,,
Country,,
Courier New,,
Custom,,
Custom Text,,
Custom Text Options,,
Customer,,
Customer Address,,
Customer Details,,
Customer Mobile,,
Customer Name,,
DNA-.YYYY.-.#####,,
Date when form was submitted to Thai Revenue Department,,
Default Font Family,,
Default Font Size (px),,
Default Height (px),,
Default Opacity,,
Default Position,,
Default Retention Rate (%),,
Default Settings,,
Default Signature,,
Default Tax Rates,,
Default Text Color,,
Default Watermark Mode,,
Default Width (px),,
Delivery Note,,
Delivery Note Approval,,
Department,,
Description,,
Designation,,
Details,,
Digital Drawing,,
Digital Signature,,
Distance from bottom in pixels (leave blank to use top),,
Distance from left in pixels (leave blank to use right),,
Distance from right in pixels (leave blank to use left),,
Distance from top in pixels (leave blank to use bottom),,
DocType that contains the signature field,,
Document Date,,
Document Number,,
Document Type,,
Documentation,,
Draft,,
Due Date,,
Employee,,
Employee Information,,
Employee Name,,
Employee Tax ID,,
Employee Tax Ledger,,
Employee Tax Ledger Entry,,
Enable Construction Service,,
Enable Watermark System,,
Enable custom positioning with pixel values,,
Expired,,
Expiry date if applicable,,
Field Name for Print Designer,,
Field name to use in print designer templates,,
Font Family,,
Font Size (px),,
Form Number,,
Format: WHTC-BBMM-##### (Buddhist Era),,
Frappe School,,
Frappe Support,,
From Date,,
General,,
General Settings,,
Generated On,,
Georgia,Georgia,
Global Settings,,
Global toggle for watermark functionality,,
Grand Total,,
Grand Total In Words,,
Gross Amount,,
Gross Salary,,
Helvetica,,
Human-readable name for the signature,,
INV-DATA-.YYYY-DATE.-.MM-DATE.-.####,,
In Words will be visible once you save the Billing.,,
Income Description,,
Income Description (รายละเอียด),,
Income Tax,,
Income Type,,
Income Type (ประเภทเงินได้),,
Income Type Code,,
Individual - Non-staff (PND.3),,
Individual - Staff (PND.1),,
Individual/Supplier Name,,
Internal Notes,,
Invoice,,
Invoice Amount,,
Invoice Data,,
Invoice Date,,
Invoice Item,,
Invoice Items,,
Is Active,,
Issued,,
Issuing Authority,,
Item Code,,
Item Name,,
"Job title or position (e.g., ""CEO"", ""Manager"")",,
Keyboard Shortcuts,,
Last Used,,
Left (px),,
Link to Frappe user who owns this signature,,
Log out,,
Maximum Retention Rate (%),,
Middle Center,,
Middle Left,,
Middle Right,,
Minimum Invoice Amount for Retention,,
Month,,
Monthly,,
Monthly Details,,
Monthly Tax Entries,,
My Profile,,
My Settings,,
Naming Series,,
Net Pay,,
Net Payment Amount (จ่ายสุทธิ),,
None,,
Notes,,
Official,,
Official Seal,,
Opacity,,
Original,,
Original on First Page,,
"Original,Copy on Sequence",,
Others - Default (%),,
Outstanding Amount,,
Overdue,,
Override Settings,,
Override Template Settings,,
Override default text (Original/Copy) with custom text,,
Overseas Entity/Individual Name,,
PND Form,,
PND Form Type (แบบ ภ.ง.ด.),,
PND1 Form,,
