00000 = สำนักงานใหญ่ (Head Office),,
01 - January,,
01 - มกราคม (January),,
02 - February,,
02 - กุมภาพันธ์ (February),,
03 - March,,
03 - มีนาคม (March),,
04 - April,,
04 - เมษายน (April),,
05 - May,,
05 - พฤษภาคม (May),,
06 - June,,
06 - มิถุนายน (June),,
07 - July,,
07 - กรกฎาคม (July),,
08 - August,,
08 - สิงหาคม (August),,
09 - September,,
09 - กันยายน (September),,
1. หัก ณ ที่จ่าย (Withhold at Source),,
1. เงินเดือน ค่าจ้าง ฯลฯ 40(1) - Salary,,
10 - October,,
10 - ตุลาคม (October),,
10. ค่าขนส่ง - Transportation,,
11 - November,,
11 - พฤศจิกายน (November),,
11. ค่าประกันภัย - Insurance,,
12 - December,,
12 - ธันวาคม (December),,
12. อื่นๆ - Others,,
2. ค่าธรรมเนียม ค่านายหน้า ฯลฯ 40(2) - Fee/Commission,,
2. ออกให้ตลอดไป (Permanent),,
3. ค่าแห่งลิขสิทธิ์ ฯลฯ 40(3) - Royalty,,
3. ออกให้ครั้งเดียว (One Time),,
4. (ก) ดอกเบี้ย ฯลฯ 40(4)ก - Interest,,
4. (ข) เงินปันผล เงินส่วนแบ่งกำไร ฯลฯ 40(4)ข - Dividend,,
4. อื่นๆ (Others),,
5. ค่าจ้างทำของ ค่าบริการ ฯลฯ 3 เตรส - Service,,
6. ค่าบริการ/ค่าสินค้าภาครัฐ - Government Service,,
7. ค่าจ้างแรงงาน - Labor,,
8. ค่าโฆษณา - Advertising,,
9. ค่าเช่า - Rent,,
About,,
Accounts Manager,ការគ្រប់គ្រងគណនី,
Accounts User,គណនីអ្នកប្រើប្រាស់,
Active,សកម្ម,
Advanced Settings,ការកំណត់កម្រិតខ្ពស់។,
All Documents,,
Amended From,ធ្វើវិសោធនកម្មពី,
Amount,ចំនួនទឹកប្រាក់,
Amount Details (รายละเอียดจำนวนเงิน),,
Annual,ប្រចាំឆ្នាំ,
Approval,,
Approval Token,,
Approved,បានអនុម័ត,
Approved By,,
Approved Date,កាលបរិច្ឆេទអនុម័ត,
Approved On,,
Apps,,
Arial,Arial,
Assignment,ការចាត់តាំង,
Authentication Stamp,,
Authority that issued or registered this stamp,,
Auto Calculate Retention,,
Auto Calculate WHT,,
Auto-calculated average withholding rate,,
Auto-calculated from items table,,
Auto-calculated total gross payments,,
Auto-calculated total tax amount,,
Auto-generated form number,,
Auto-populate Target Field,,
Automatically update the target field when this signature is saved,,
Average Tax Rate,,
Base64 encoded signature data (for digital drawings),,
Basic Information,,
Billing Address,វិក័យប័ត្រអាសយដ្ឋាន,
Billing Period,,
Bottom (px),,
Bottom Center,,
Bottom Left,,
Bottom Right,,
Branch Code,លេខកូដសាខា,
Buddhist Era Year,,
Buddhist Era year (auto-calculated),,
Calibri,,
Cancelled,បានកាត់បន្ថយ,
Category,ប្រភេទ,
Certificate Date,,
Certificate Information,,
Certificate Issue Date,,
Certificate Issued,,
Certificate Number,,
Certificate Period,,
Certificate Reason,,
Classification for PND form reporting,,
Company,ក្រុមហ៊ុន,
Company (ผู้หักภาษี),,
Company Branch,,
Company Information,,
Company Retention Settings,,
Company Seal,,
Company Stamp,,
Company Stamp Details,,
Company Tax ID,,
Company this signature belongs to,,
Company/Corporation Name,,
Company/Juristic Person (PND.53),,
Confidential,,
Contact Person,ទំនាក់ទំនង,
Copy,,
Copy on All Pages,,
Country,ប្រទេស,
Courier New,,
Custom,ផ្ទាល់ខ្លួន,
Custom Text,,
Custom Text Options,,
Customer,អតិថិជន,
Customer Address,អាសយដ្ឋានអតិថិជន,
Customer Details,ពត៌មានលំអិតរបស់អតិថិជន,
Customer Mobile,,
Customer Name,ឈ្មោះអតិថិជន,
DNA-.YYYY.-.#####,,
Date when form was submitted to Thai Revenue Department,,
Default Font Family,,
Default Font Size (px),,
Default Height (px),,
Default Opacity,,
Default Position,,
Default Retention Rate (%),,
Default Settings,,
Default Signature,,
Default Tax Rates,,
Default Text Color,,
Default Watermark Mode,,
Default Width (px),,
Delivery Note,ដឹកជញ្ជូនចំណាំ,
Delivery Note Approval,,
Department,នាយកដ្ឋាន,
Description,ការពិពណ៌នាសង្ខេប,
Designation,ការរចនា,
Details,ពត៌មានលំអិត,
Digital Drawing,,
Digital Signature,,
Distance from bottom in pixels (leave blank to use top),,
Distance from left in pixels (leave blank to use right),,
Distance from right in pixels (leave blank to use left),,
Distance from top in pixels (leave blank to use bottom),,
DocType that contains the signature field,,
Document Date,,
Document Number,,
Document Type,ប្រភេទឯកសារ,
Documentation,,
Draft,សេចក្តីព្រាង,
Due Date,កាលបរិច្ឆេទដល់កំណត់,
Employee,បុគ្គលិក,
Employee Information,ព័ត៌មានបុគ្គលិក,
Employee Name,ឈ្មោះបុគ្គលិក,
Employee Tax ID,,
Employee Tax Ledger,,
Employee Tax Ledger Entry,,
Enable Construction Service,,
Enable Watermark System,,
Enable custom positioning with pixel values,,
Expired,ផុតកំណត់,
Expiry date if applicable,,
Field Name for Print Designer,,
Field name to use in print designer templates,,
Font Family,,
Font Size (px),,
Form Number,,
Format: WHTC-BBMM-##### (Buddhist Era),,
Frappe School,,
Frappe Support,,
From Date,ពីកាលបរិច្ឆេទ,
General,ទូទៅ,
General Settings,ការកំណត់ទូទៅ,
Generated On,,
Georgia,Georgia,
Global Settings,,
Global toggle for watermark functionality,,
Grand Total,តំលៃបូកសរុប,
Grand Total In Words,,
Gross Amount,,
Gross Salary,,
Helvetica,Helvetica,
Human-readable name for the signature,,
INV-DATA-.YYYY-DATE.-.MM-DATE.-.####,,
In Words will be visible once you save the Billing.,,
Income Description,,
Income Description (รายละเอียด),,
Income Tax,ពន្ធលើប្រាក់ចំណូល,
Income Type,,
Income Type (ประเภทเงินได้),,
