00000 = สำนักงานใหญ่ (Head Office),,
01 - January,,
01 - มกราคม (January),,
02 - February,,
02 - กุมภาพันธ์ (February),,
03 - March,,
03 - มีนาคม (March),,
04 - April,,
04 - เมษายน (April),,
05 - May,,
05 - พฤษภาคม (May),,
06 - June,,
06 - มิถุนายน (June),,
07 - July,,
07 - กรกฎาคม (July),,
08 - August,,
08 - สิงหาคม (August),,
09 - September,,
09 - กันยายน (September),,
1. หัก ณ ที่จ่าย (Withhold at Source),,
1. เงินเดือน ค่าจ้าง ฯลฯ 40(1) - Salary,,
10 - October,,
10 - ตุลาคม (October),,
10. ค่าขนส่ง - Transportation,,
11 - November,,
11 - พฤศจิกายน (November),,
11. ค่าประกันภัย - Insurance,,
12 - December,,
12 - ธันวาคม (December),,
12. อื่นๆ - Others,,
2. ค่าธรรมเนียม ค่านายหน้า ฯลฯ 40(2) - Fee/Commission,,
2. ออกให้ตลอดไป (Permanent),,
3. ค่าแห่งลิขสิทธิ์ ฯลฯ 40(3) - Royalty,,
3. ออกให้ครั้งเดียว (One Time),,
4. (ก) ดอกเบี้ย ฯลฯ 40(4)ก - Interest,,
4. (ข) เงินปันผล เงินส่วนแบ่งกำไร ฯลฯ 40(4)ข - Dividend,,
4. อื่นๆ (Others),,
5. ค่าจ้างทำของ ค่าบริการ ฯลฯ 3 เตรส - Service,,
6. ค่าบริการ/ค่าสินค้าภาครัฐ - Government Service,,
7. ค่าจ้างแรงงาน - Labor,,
8. ค่าโฆษณา - Advertising,,
9. ค่าเช่า - Rent,,
About,,
Accounts Manager,အကောင့်အသစ်များ၏ Manager က,
Accounts User,အသုံးပြုသူအကောင့်,
Active,active,
Advanced Settings,အဆင့်မြင့်ချိန်ညှိမှုများ,
All Documents,,
Amended From,မှစ. ပြင်ဆင်,
Amount,ငွေပမာဏ,
Amount Details (รายละเอียดจำนวนเงิน),,
Annual,နှစ်ပတ်လည်,
Approval,,
Approval Token,,
Approved,Approved,
Approved By,,
Approved Date,approved နေ့စွဲ,
Approved On,,
Apps,,
Arial,Arial,
Assignment,တာဝန်ကျတဲ့နေရာ,
Authentication Stamp,,
Authority that issued or registered this stamp,,
Auto Calculate Retention,,
Auto Calculate WHT,,
Auto-calculated average withholding rate,,
Auto-calculated from items table,,
Auto-calculated total gross payments,,
Auto-calculated total tax amount,,
Auto-generated form number,,
Auto-populate Target Field,,
Automatically update the target field when this signature is saved,,
Average Tax Rate,,
Base64 encoded signature data (for digital drawings),,
Basic Information,,
Billing Address,ကျသင့်ငွေတောင်းခံလွှာပေးပို့မည့်လိပ်စာ,
Billing Period,,
Bottom (px),,
Bottom Center,,
Bottom Left,,
Bottom Right,,
Branch Code,ဘဏ်ခွဲကုဒ်,
Buddhist Era Year,,
Buddhist Era year (auto-calculated),,
Calibri,,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Category,Category:,
Certificate Date,,
Certificate Information,,
Certificate Issue Date,,
Certificate Issued,,
Certificate Number,,
Certificate Period,,
Certificate Reason,,
Classification for PND form reporting,,
Company,ကုမ္ပဏီ,
Company (ผู้หักภาษี),,
Company Branch,,
Company Information,,
Company Retention Settings,,
Company Seal,,
Company Stamp,,
Company Stamp Details,,
Company Tax ID,,
Company this signature belongs to,,
Company/Corporation Name,,
Company/Juristic Person (PND.53),,
Confidential,,
Contact Person,ဆက်သွယ်ရမည့်သူ,
Copy,,
Copy on All Pages,,
Country,ပြည်,
Courier New,,
Custom,ထုံးစံဓလေ့,
Custom Text,,
Custom Text Options,,
Customer,ဝယ်သူ,
Customer Address,customer လိပ်စာ,
Customer Details,customer အသေးစိတ်ကို,
Customer Mobile,,
Customer Name,ဖောက်သည်အမည်,
DNA-.YYYY.-.#####,,
Date when form was submitted to Thai Revenue Department,,
Default Font Family,,
Default Font Size (px),,
Default Height (px),,
Default Opacity,,
Default Position,,
Default Retention Rate (%),,
Default Settings,,
Default Signature,,
Default Tax Rates,,
Default Text Color,,
Default Watermark Mode,,
Default Width (px),,
Delivery Note,Delivery မှတ်ချက်,
Delivery Note Approval,,
Department,ဌါန,
Description,ဖေါ်ပြချက်,
Designation,သတ်မှတ်ပေးထားခြင်း,
Details,အသေးစိတ်အချက်အလက်များကို,
Digital Drawing,,
Digital Signature,,
Distance from bottom in pixels (leave blank to use top),,
Distance from left in pixels (leave blank to use right),,
Distance from right in pixels (leave blank to use left),,
Distance from top in pixels (leave blank to use bottom),,
DocType that contains the signature field,,
Document Date,,
Document Number,,
Document Type,စာရွက်စာတမ်းကအမျိုးအစား,
Documentation,,
Draft,မူကြမ်း,
Due Date,သတ်မှတ်ချိန်းရက်,
Employee,လုပ်သား,
Employee Information,ဝန်ထမ်းပြန်ကြားရေး,
Employee Name,ဝန်ထမ်းအမည်,
Employee Tax ID,,
Employee Tax Ledger,,
Employee Tax Ledger Entry,,
Enable Construction Service,,
Enable Watermark System,,
Enable custom positioning with pixel values,,
Expired,Expired,
Expiry date if applicable,,
Field Name for Print Designer,,
Field name to use in print designer templates,,
Font Family,,
Font Size (px),,
Form Number,,
Format: WHTC-BBMM-##### (Buddhist Era),,
Frappe School,,
Frappe Support,,
From Date,နေ့စွဲကနေ,
General,ယေဘုယျ,
General Settings,General Settings,
Generated On,,
Georgia,Georgia,
Global Settings,,
Global toggle for watermark functionality,,
Grand Total,စုစုပေါင်း,
Grand Total In Words,,
Gross Amount,,
Gross Salary,,
Helvetica,Helvetica,
Human-readable name for the signature,,
INV-DATA-.YYYY-DATE.-.MM-DATE.-.####,,
In Words will be visible once you save the Billing.,,
Income Description,,
Income Description (รายละเอียด),,
Income Tax,ဝင်ငွေခွန်,
Income Type,,
Income Type (ประเภทเงินได้),,
Income Type Code,,
Individual - Non-staff (PND.3),,
