About,เกี่ยวกับ,
Accounts Manager,ผู้จัดการบัญชี,
Accounts User,ผู้ใช้บัญชี,
Action,ดำเนินการ,
Actions,การดำเนินการ,
Active,ใช้งาน,
Advanced,ก้าวหน้า,
Advanced Settings,ตั้งค่าขั้นสูง,
Amended From,แก้ไขจาก,
Amount,จำนวนเงิน,
Amount Paid,จำนวนเงินที่ชำระ,
Annual,ประจำปี,
Apply,ใช้,
Approval,การอนุมัติ,
Approved,ได้รับการอนุมัติ,
Approved By,อนุมัติโดย,
Approved Date,วันที่อนุมัติ,
Apps,แอปส์,
Arial,Arial,
Assignment,การมอบหมาย,
Basic Information,ข้อมูลพื้นฐาน,
Billing Address,ที่อยู่ในการเรียกเก็บเงิน,
Bottom Center,กึ่งกลางด้านล่าง,
Bottom Left,ล่างซ้าย,
Bottom Right,ด้านล่างขวา,
Branch Code,รหัสสาขา,
Cancelled,ยกเลิก,
Category,หมวดหมู่,
Certificate Number,หมายเลขใบรับรอง,
Clear,ล้างข้อมูล,
Close,ปิด,
Color,สี,
Compact Item Print,ขนาดกะทัดรัดรายการพิมพ์,
Company,บริษัท,
Company Information,ข้อมูลบริษัท,
Company Retention Settings,การตั้งค่า เงินประกันผลงาน,
Company Tax ID,หมายเลขประจำตัวผู้เสียภาษีของบริษัท,
Company is required,จำเป็นต้องระบุบริษัท,
Contact Person,Contact Person,
Copy,สำเนา,
Country,ประเทศ,
Create,สร้าง,
Create New,สร้างใหม่,
Create or Edit Print Format,สร้างหรือแก้ไขรูปแบบการพิมพ์,
Creation Failed,การสร้างล้มเหลว,
Custom,ประเพณี,
Customer,ลูกค้า,
Customer Address,ที่อยู่ของลูกค้า,
Customer Details,รายละเอียดลูกค้า,
Customer Name,ชื่อลูกค้า,
Customer is required,ลูกค้า จะต้อง,
Date,วันที่,
Delivery Note,ใบส่งสินค้า,
Department,แผนก,
Description,คำอธิบาย,
Designation,การแต่งตั้ง,
Details,รายละเอียด,
Document Number,หมายเลขเอกสาร,
Document Type,ประเภทเอกสาร,
Download PDF,ดาวน์โหลด PDF,
Draft,ฉบับร่าง,
Due Date,กำหนดชำระเงิน,
Edit,แก้ไข,
Edit Existing,แก้ไขรายการที่มีอยู่,
Edit Format,แก้ไขรูปแบบที่,
Employee,พนักงาน,
Employee Information,ข้อมูลของพนักงาน,
Employee Name,ชื่อของพนักงาน,
Error,ข้อผิดพลาด,
Expired,หมดอายุ,
Export to Excel,ส่งออกเป็น Excel,
Font Size,ขนาดตัวอักษร,
Form,ฟอร์ม,
Format,รูป,
Frappe Support,ฝ่ายสนับสนุน Frappe,
From Date,จากวันที่,
From Date cannot be greater than To Date,วันที่เริ่มต้นต้องไม่มากกว่าวันที่สิ้นสุด,
Full Page,เต็มหน้า,
General,ทั่วไป,
General Settings,การตั้งค่าทั่วไป,
Generating PDF...,กำลังสร้าง PDF...,
Georgia,Georgia,
Get PDF,รับไฟล์ PDF,
Go to {0},ไปที่ {0},
Grand Total,ยอดรวมทั้งหมด,
Gross Amount,จำนวนเงินรวม,
Helvetica,Helvetica,
Import,นำเข้า,
Income Tax,ภาษีเงินได้,
Income Type,ประเภทรายได้,
Income Type Code,รหัสประเภทรายได้,
Installation Complete,การติดตั้งเสร็จสมบูรณ์,
Insufficient permissions,สิทธิ์ไม่เพียงพอ,
Internal Notes,บันทึกภายใน,
Invoice,ใบแจ้งหนี้,
Invoice Amount,จำนวนเงินในใบแจ้งหนี้,
Invoice Date,วันที่ ใบแจ้งหนี้,
Is Active,ใช้งานอยู่,
Issued,ออก,
Issuing Authority,หน่วยงานออกให้,
Item Code,รหัสสินค้า,
Item Name,ชื่อสินค้า,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Language,ภาษา,
Letter Head,หัวจดหมาย,
Log out,ออกจากระบบ,
Month,เดือน,
Monthly,รายเดือน,
My Profile,โปรไฟล์ของฉัน,
My Settings,การตั้งค่าของฉัน,
Naming Series,ลำดับการตั้งชื่อ,
Net Pay,จ่ายสุทธิ,
No data to export,ไม่มีข้อมูลที่จะส่งออก,
None,ไม่มี,
Notes,หมายเหตุ,
Original,ต้นฉบับ,
Outstanding Amount,ยอดค้างชำระ,
Overdue,เกินกำหนด,
PDF,รูปแบบไฟล์ PDF,
PDF Generator,ตัวสร้าง PDF,
Paid,ชำระแล้ว,
Party,ฝ่าย,
Payment,การชำระเงิน,
Payment Date,วันจ่าย,
Payment Entry,รายการชำระเงิน,
Payment Information,ข้อมูลการชำระเงิน,
Pending,รอดำเนินการ,
Phone,โทรศัพท์,
Please enable pop-ups,กรุณาเปิดใช้งาน ป๊อปอัพ,
Please select DocType first,กรุณาเลือก DocType แรก,
Position,ตำแหน่ง,
Posting Date,วันที่ขับ,
Prepared By,จัดทำโดย,
Print,พิมพ์,
Print Format,พิมพ์รูปแบบ,
Print UOM after Quantity,พิมพ์ UOM หลังจำนวน,
Print taxes with zero amount,พิมพ์ภาษีที่มีจำนวนเป็นศูนย์,
Provident Fund,กองทุนสำรองเลี้ยงชีพ,
Purchase Invoice,ใบกำกับภาษีซื้อ,
Purchase Order,ใบสั่งซื้อ,
Purchase Receipt,ใบเสร็จรับเงินการสั่งซื้อ,
Qty,จำนวน,
Quotation,ใบเสนอราคา,
Rate,อัตรา,
Receipt,ใบเสร็จรับเงิน,
Received,ที่ได้รับ,
Refresh,ดึงข้อมูลใหม่,
Refresh Status,รีเฟรชสถานะ,
Rejected,ไม่อนุมัติ,
Reload,โหลด,
Remarks,หมายเหตุ,
Request for Quotation,ขอใบเสนอราคา,
Salary Slip,สลิปเงินเดือน,
Sales Invoice,ใบแจ้งหนี้ขาย,
Sales Manager,ผู้จัดการฝ่ายขาย,
Sales Order,ใบสั่งขาย,
Sales User,ผู้ขาย,
Sarabun,สารบัญ,
Save,บันทึก,
Search by filename or extension,ค้นหาตามชื่อไฟล์หรือนามสกุล,
Select Document Type,เลือกประเภทของเอกสาร,
Select Print Format,เลือกรูปแบบพิมพ์,
Series,ลำดับชุด,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Set as Default,Set as Default,
Setup,การตั้งค่า,
Signature,ลายเซ็นต์,
Signature Image,รูปภาพลายเซ็นต์,
Signature Preview,ตัวอย่างลายเซ็นต์,
Social Security,ประกันสังคม,
Status,สถานะ,
Submission Date,วันที่ ส่งแล้ว,
Submission Status,สถานะการส่งข้อมูล,
Submitted,ส่งแล้ว,
Success,สำเร็จ,
Supplier,ผู้จำหน่าย,
Supplier Address,ที่อยู่ผู้ผลิต,
Supplier Name,ชื่อผู้จำหน่าย,
Supplier Tax ID,หมายเลขประจำตัวผู้เสียภาษีผู้จำหน่าย,
Sync Now,ซิงค์ทันที,
