00000 = สำนักงานใหญ่ (Head Office),,
01 - January,,
01 - มกราคม (January),,
02 - February,,
02 - กุมภาพันธ์ (February),,
03 - March,,
03 - มีนาคม (March),,
04 - April,,
04 - เมษายน (April),,
05 - May,,
05 - พฤษภาคม (May),,
06 - June,,
06 - มิถุนายน (June),,
07 - July,,
07 - กรกฎาคม (July),,
08 - August,,
08 - สิงหาคม (August),,
09 - September,,
09 - กันยายน (September),,
1. หัก ณ ที่จ่าย (Withhold at Source),,
1. เงินเดือน ค่าจ้าง ฯลฯ 40(1) - Salary,,
10 - October,,
10 - ตุลาคม (October),,
10. ค่าขนส่ง - Transportation,,
11 - November,,
11 - พฤศจิกายน (November),,
11. ค่าประกันภัย - Insurance,,
12 - December,,
12 - ธันวาคม (December),,
12. อื่นๆ - Others,,
2. ค่าธรรมเนียม ค่านายหน้า ฯลฯ 40(2) - Fee/Commission,,
2. ออกให้ตลอดไป (Permanent),,
3. ค่าแห่งลิขสิทธิ์ ฯลฯ 40(3) - Royalty,,
3. ออกให้ครั้งเดียว (One Time),,
4. (ก) ดอกเบี้ย ฯลฯ 40(4)ก - Interest,,
4. (ข) เงินปันผล เงินส่วนแบ่งกำไร ฯลฯ 40(4)ข - Dividend,,
4. อื่นๆ (Others),,
5. ค่าจ้างทำของ ค่าบริการ ฯลฯ 3 เตรส - Service,,
6. ค่าบริการ/ค่าสินค้าภาครัฐ - Government Service,,
7. ค่าจ้างแรงงาน - Labor,,
8. ค่าโฆษณา - Advertising,,
9. ค่าเช่า - Rent,,
About,,
Accounts Manager,Quản lý tài khoản,
Accounts User,Người dùng kế toán,
Active,có hiệu lực,
Advanced Settings,Cài đặt nâng cao,
All Documents,,
Amended From,Sửa đổi Từ,
Amount,Giá trị,
Amount Details (รายละเอียดจำนวนเงิน),,
Annual,Hàng năm,
Approval,,
Approval Token,,
Approved,Đã được phê duyệt,
Approved By,,
Approved Date,Ngày được chấp thuận,
Approved On,,
Apps,,
Arial,Arial,
Assignment,Chuyển nhượng,
Authentication Stamp,,
Authority that issued or registered this stamp,,
Auto Calculate Retention,,
Auto Calculate WHT,,
Auto-calculated average withholding rate,,
Auto-calculated from items table,,
Auto-calculated total gross payments,,
Auto-calculated total tax amount,,
Auto-generated form number,,
Auto-populate Target Field,,
Automatically update the target field when this signature is saved,,
Average Tax Rate,,
Base64 encoded signature data (for digital drawings),,
Basic Information,,
Billing Address,Địa chỉ thanh toán,
Billing Period,,
Bottom (px),,
Bottom Center,,
Bottom Left,,
Bottom Right,,
Branch Code,Mã chi nhánh,
Buddhist Era Year,,
Buddhist Era year (auto-calculated),,
Calibri,,
Cancelled,HỦY BỎ,
Category,thể loại,
Certificate Date,,
Certificate Information,,
Certificate Issue Date,,
Certificate Issued,,
Certificate Number,,
Certificate Period,,
Certificate Reason,,
Classification for PND form reporting,,
Company,Công ty,
Company (ผู้หักภาษี),,
Company Branch,,
Company Information,,
Company Retention Settings,,
Company Seal,,
Company Stamp,,
Company Stamp Details,,
Company Tax ID,,
Company this signature belongs to,,
Company/Corporation Name,,
Company/Juristic Person (PND.53),,
Confidential,,
Contact Person,Người Liên hệ,
Copy,,
Copy on All Pages,,
Country,Tại,
Courier New,,
Custom,Tuỳ chỉnh,
Custom Text,,
Custom Text Options,,
Customer,Khách Hàng,
Customer Address,Địa chỉ khách hàng,
Customer Details,Chi tiết khách hàng,
Customer Mobile,,
Customer Name,Tên khách hàng,
DNA-.YYYY.-.#####,,
Date when form was submitted to Thai Revenue Department,,
Default Font Family,,
Default Font Size (px),,
Default Height (px),,
Default Opacity,,
Default Position,,
Default Retention Rate (%),,
Default Settings,,
Default Signature,,
Default Tax Rates,,
Default Text Color,,
Default Watermark Mode,,
Default Width (px),,
Delivery Note,Phiếu giao hàng,
Delivery Note Approval,,
Department,Cục,
Description,Mô tả,
Designation,Chỉ định,
Details,Chi tiết,
Digital Drawing,,
Digital Signature,,
Distance from bottom in pixels (leave blank to use top),,
Distance from left in pixels (leave blank to use right),,
Distance from right in pixels (leave blank to use left),,
Distance from top in pixels (leave blank to use bottom),,
DocType that contains the signature field,,
Document Date,,
Document Number,,
Document Type,loại tài liệu,
Documentation,,
Draft,Bản nháp,
Due Date,Ngày đáo hạn,
Employee,Nhân viên,
Employee Information,Thông tin nhân viên,
Employee Name,Tên nhân viên,
Employee Tax ID,,
Employee Tax Ledger,,
Employee Tax Ledger Entry,,
Enable Construction Service,,
Enable Watermark System,,
Enable custom positioning with pixel values,,
Expired,Hết hạn,
Expiry date if applicable,,
Field Name for Print Designer,,
Field name to use in print designer templates,,
Font Family,,
Font Size (px),,
Form Number,,
Format: WHTC-BBMM-##### (Buddhist Era),,
Frappe School,,
Frappe Support,,
From Date,Từ ngày,
General,Chung,
General Settings,Thiết lập chung,
Generated On,,
Georgia,Georgia,
Global Settings,,
Global toggle for watermark functionality,,
Grand Total,Tổng cộng,
Grand Total In Words,,
Gross Amount,,
Gross Salary,,
Helvetica,Helvetica,
Human-readable name for the signature,,
INV-DATA-.YYYY-DATE.-.MM-DATE.-.####,,
In Words will be visible once you save the Billing.,,
Income Description,,
Income Description (รายละเอียด),,
Income Tax,Thuế thu nhập,
Income Type,,
Income Type (ประเภทเงินได้),,
Income Type Code,,
Individual - Non-staff (PND.3),,
Individual - Staff (PND.1),,
Individual/Supplier Name,,
Internal Notes,,
Invoice,Hóa đơn,
Invoice Amount,,
Invoice Data,,
Invoice Date,Hóa đơn ngày,
Invoice Item,,
Invoice Items,,
Is Active,Là hoạt động,
Issued,Ban hành,
Issuing Authority,,
Item Code,Mã hàng,
Item Name,Tên mục,
"Job title or position (e.g., ""CEO"", ""Manager"")",,
Keyboard Shortcuts,Các phím tắt bàn phím,
